case,zone,step,q_base,q_plus,q_minus,central_gradient,one_sided_plus_slope,one_sided_minus_slope,one_sided_sign_consistent,mesh_cells,step_ladder_available,mesh_refinement_available,status,source
lower_Q_AIRGAP_2p5mm,0,0.05,4.738160893008383e-24,4.8177514363188464e-24,4.7723966674340696e-24,0.09458687507006402,0.3331649813104079,-0.14399123117025667,0,189x189x71,0,0,exploratory fixed-step observation; not a verified gradient,_A2_grad_responsive.npz
lower_Q_AIRGAP_2p5mm,2,0.05,4.738160893008383e-24,4.8221493358654536e-24,4.759688512681412e-24,0.13037521383800765,0.35141371625347434,-0.09066328857736863,0,189x189x71,0,0,exploratory fixed-step observation; not a verified gradient,_A2_grad_responsive.npz
lower_Q_AIRGAP_2p5mm,5,0.05,4.738160893008383e-24,4.8384878285039386e-24,4.7534983211581424e-24,0.1772140414743717,0.41906353246421085,-0.06463544951547455,0,189x189x71,0,0,exploratory fixed-step observation; not a verified gradient,_A2_grad_responsive.npz
large_near_resonant_5x5,0,0.05,1.1339e-23,1.4127e-23,1.4429e-23,-0.21169623429216244,4.396794978796493,-4.819839186508319,0,205x203x78,0,0,exploratory fixed-step observation; not a verified gradient,_gradR2t.log + _A2_grad_responsive2_tuned.npz
large_near_resonant_5x5,1,0.05,1.1339e-23,1.5218e-23,1.5438e-23,-0.143274264817137,5.884616535292568,-6.1716778307591875,0,205x203x78,0,0,exploratory fixed-step observation; not a verified gradient,_gradR2t.log + _A2_grad_responsive2_tuned.npz
large_near_resonant_5x5,2,0.05,1.1339e-23,1.5471e-23,1.5084e-23,0.25339123942657693,6.214383854944578,-5.7077293681281605,0,205x203x78,0,0,exploratory fixed-step observation; not a verified gradient,_gradR2t.log + _A2_grad_responsive2_tuned.npz
