dataset,member_artifact,member_artifact_sha256,frozen_source,frozen_source_sha256,NQ,M,K,headline_sign_auc,headline_zero_budget_cosine
TMM easy (near-saturated),external_members_tmm_easy.npz,470bbff02348e7e8c5df0b5086a8d12c106e69ec0ded87522f4ff392476c7b01,extbench_tmm.npz,61ded7675b3692490b3b4dd191180396641f9deb4a72ca3159f865060b5e082f,80,10,11,0.905621227364,0.995746075819
TMM stressed,external_members_tmm_stressed.npz,70c9a0b68fb94e768eedcb131b9351437b9c2862788ab76424dbaba9afa50d7f,extbench_tmm_hard.npz,6cfd600d4fb9f5a2002fe16db48facd589599b8a951355fe49d5a33ded7e6517,100,10,11,0.722777472514,0.777042071334
Heat/Poisson stressed,external_members_heat_poisson_stressed.npz,1335f6276921ad0988188af1c872e333c4213c4dc670a71b8627225688f1ae92,extbench_poisson.npz,62c7c35830ce745754cc0cbff8a37294f605925874c2d8160d4341f1666485b8,100,10,16,0.761203802602,0.950911527565
