dataset,risk_target,candidate_thresholds,familywise_alpha,calibration_fraction,calibration_queries,test_queries,calibration_query_indices,test_query_indices,selected_threshold,status,test_TP_trusted_correct,test_FP_trusted_wrong,test_FN_rejected_correct,test_TN_rejected_wrong,test_coverage,test_coverage_cluster_low,test_coverage_cluster_high,test_false_trust_risk,test_false_trust_risk_cluster_low,test_false_trust_risk_cluster_high,calibration_coverage_at_selection,calibration_risk_at_selection,calibration_risk_upper_at_selection
TMM easy (near-saturated),0.1,0.5;0.6;0.7;0.8;0.9;1.0,0.05,0.5,40,40,7;62;8;0;27;13;46;40;61;35;52;51;56;14;10;16;37;1;68;65;57;9;24;58;22;43;48;72;77;33;28;25;6;55;21;38;63;73;12;3,30;2;39;19;11;36;59;78;44;49;45;29;71;23;17;75;32;67;18;54;64;50;41;53;79;47;70;5;66;20;74;76;69;4;26;42;31;34;15;60,0.5,selected_on_calibration_evaluated_on_held_out_test,424,16,0,0,1,1,1,0.03636363636,0.02272727273,0.05227272727,0.9931818182,0.02517162471,0.04347826087
TMM stressed,0.1,0.5;0.6;0.7;0.8;0.9;1.0,0.05,0.5,50,50,87;71;23;33;62;63;26;53;66;69;65;58;50;24;17;39;44;4;55;79;20;82;9;21;61;67;8;52;60;13;73;76;86;5;35;32;0;83;84;96;3;93;2;43;28;47;30;19;31;77,41;68;1;57;91;98;70;40;36;85;89;6;25;18;16;34;10;54;14;27;59;64;11;48;88;92;90;7;81;45;29;37;80;94;49;22;97;78;99;46;15;38;75;74;12;42;51;56;95;72,,no_candidate_met_calibration_risk_bound,0,0,0,0,,,,,,,,,
Heat/Poisson stressed,0.1,0.5;0.6;0.7;0.8;0.9;1.0,0.05,0.5,50,50,14;72;61;48;63;92;21;33;36;53;18;70;43;58;13;39;44;77;17;62;12;66;51;89;88;7;76;22;84;73;42;69;37;5;25;80;45;40;82;55;83;85;57;64;99;8;54;81;79;38,29;96;56;67;34;41;23;94;35;98;1;75;2;49;87;93;52;28;68;78;26;10;59;60;50;95;11;46;20;15;9;71;32;31;86;24;65;47;90;30;74;19;0;3;27;6;4;91;16;97,0.7,selected_on_calibration_evaluated_on_held_out_test,677,53,31,39,0.9125,0.89375,0.93,0.07260273973,0.05702364395,0.08823630832,0.92375,0.07307171854,0.09066666667
