dataset,M,subset_index,members,sign_auc,snr_auc,magnitude_auc,tau09_coverage,tau09_false_trust_risk,zero_budget_cosine,accepted_components,total_components,K
TMM easy (near-saturated),3,38,1;2;5,0.725894736842,0.826432748538,0.943204678363,0.955681818182,0.0154577883472,0.994714659141,841,880,11
TMM easy (near-saturated),3,39,1;2;6,0.679225077882,0.86550817757,0.950593847352,0.973863636364,0.0175029171529,0.99570599777,857,880,11
TMM easy (near-saturated),3,40,1;2;7,0.852140283958,0.97594829413,0.968743377834,0.960227272727,0.00710059171598,0.99568468376,845,880,11
TMM easy (near-saturated),3,41,1;2;8,0.711064327485,0.891649122807,0.957941520468,0.970454545455,0.016393442623,0.995854374857,854,880,11
TMM easy (near-saturated),3,42,1;2;9,0.721537558685,0.914989939638,0.953428906774,0.9625,0.0177095631641,0.994795314724,847,880,11
TMM easy (near-saturated),3,43,1;3;4,0.731492336416,0.931874430116,0.95649342191,0.967045454545,0.0164512338425,0.995453572934,851,880,11
TMM easy (near-saturated),3,44,1;3;5,0.699656270959,0.856933266264,0.928361837693,0.957954545455,0.0189798339265,0.994522242498,843,880,11
TMM easy (near-saturated),3,45,1;3;6,0.639768138596,0.913507880683,0.941687291043,0.975,0.0221445221445,0.99537241541,858,880,11
TMM easy (near-saturated),3,46,1;3;7,0.827415204678,0.955789473684,0.962713450292,0.956818181818,0.00950118764846,0.995369066612,842,880,11
TMM easy (near-saturated),3,47,1;3;8,0.642136551973,0.936858223743,0.938749774815,0.968181818182,0.0211267605634,0.995626732266,852,880,11
TMM easy (near-saturated),3,48,1;3;9,0.708892246462,0.926923643868,0.947376179245,0.964772727273,0.0212014134276,0.994474608818,849,880,11
TMM easy (near-saturated),3,49,1;4;5,0.796730013372,0.91401596499,0.956764860813,0.951136363636,0.0131421744325,0.995180136937,837,880,11
TMM easy (near-saturated),3,50,1;4;6,0.721851918573,0.932084309133,0.954512700414,0.969318181818,0.0164126611958,0.995809985642,853,880,11
TMM easy (near-saturated),3,51,1;4;7,0.878316675968,0.981837552636,0.970828471412,0.956818181818,0.00593824228029,0.995757841327,842,880,11
TMM easy (near-saturated),3,52,1;4;8,0.739754098361,0.961178166096,0.955728697532,0.967045454545,0.0152761457109,0.995947010848,851,880,11
TMM easy (near-saturated),3,53,1;4;9,0.726868134254,0.939776822544,0.95115279406,0.957954545455,0.0166073546856,0.99500003727,843,880,11
TMM easy (near-saturated),3,54,1;5;6,0.705039215686,0.838078431373,0.94231372549,0.961363636364,0.0200945626478,0.994785055092,846,880,11
TMM easy (near-saturated),3,55,1;5;7,0.830075662043,0.954242478833,0.948747973338,0.945454545455,0.00961538461538,0.994095934679,832,880,11
TMM easy (near-saturated),3,56,1;5;8,0.688658764274,0.876036646259,0.937953193522,0.954545454545,0.0190476190476,0.995107298779,840,880,11
TMM easy (near-saturated),3,57,1;5;9,0.744311073542,0.883956043956,0.942789518174,0.953409090909,0.0202622169249,0.993260846396,839,880,11
TMM easy (near-saturated),3,58,1;6;7,0.820920950156,0.93492017134,0.96578076324,0.957954545455,0.00948991696323,0.995784177291,843,880,11
TMM easy (near-saturated),3,59,1;6;8,0.657439972211,0.89574920759,0.944379314837,0.971590909091,0.0210526315789,0.995905597746,855,880,11
TMM easy (near-saturated),3,60,1;6;9,0.6943359375,0.940558667453,0.951835200472,0.967045454545,0.0223266745006,0.994816580065,851,880,11
TMM easy (near-saturated),3,61,1;7;8,0.808210526316,0.947649122807,0.966128654971,0.960227272727,0.010650887574,0.995831000403,845,880,11
TMM easy (near-saturated),3,62,1;7;9,0.825410798122,0.972292085848,0.959674714956,0.951136363636,0.010752688172,0.994705536095,837,880,11
TMM easy (near-saturated),3,63,1;8;9,0.708173643868,0.939858490566,0.953825176887,0.961363636364,0.0212765957447,0.995072112548,846,880,11
TMM easy (near-saturated),3,64,2;3;4,0.620338897063,0.934706509056,0.950687433413,0.973863636364,0.0198366394399,0.995679958392,857,880,11
TMM easy (near-saturated),3,65,2;3;5,0.65762925599,0.896415060349,0.934336155648,0.960227272727,0.0201183431953,0.994584122749,845,880,11
TMM easy (near-saturated),3,66,2;3;6,0.636527498323,0.928361837693,0.9549379611,0.978409090909,0.0232288037166,0.995577091683,861,880,11
TMM easy (near-saturated),3,67,2;3;7,0.780008761682,0.935893691589,0.960572429907,0.9625,0.0118063754427,0.995520918049,847,880,11
TMM easy (near-saturated),3,68,2;3;8,0.639116842517,0.90608310538,0.958099952238,0.972727272727,0.0221962616822,0.995793420642,856,880,11
TMM easy (near-saturated),3,69,2;3;9,0.639941176471,0.938862745098,0.948,0.969318181818,0.0246189917937,0.994668009753,853,880,11
TMM easy (near-saturated),3,70,2;4;5,0.735453071519,0.888668708341,0.955143217438,0.954545454545,0.0154761904762,0.99533014511,840,880,11
TMM easy (near-saturated),3,71,2;4;6,0.657856308411,0.873977803738,0.956921728972,0.973863636364,0.0186697782964,0.996079881835,857,880,11
TMM easy (near-saturated),3,72,2;4;7,0.749958423416,0.881479017684,0.968069183436,0.963636363636,0.0117924528302,0.995960987908,848,880,11
TMM easy (near-saturated),3,73,2;4;8,0.619933032317,0.885952006494,0.958652529045,0.972727272727,0.0198598130841,0.996181763188,856,880,11
TMM easy (near-saturated),3,74,2;4;9,0.685404091214,0.934230382294,0.959213615023,0.963636363636,0.0200471698113,0.995265006259,848,880,11
TMM easy (near-saturated),3,75,2;5;6,0.683936955064,0.857478202549,0.946470489604,0.961363636364,0.0200945626478,0.994848719541,846,880,11
TMM easy (near-saturated),3,76,2;5;7,0.865736050893,0.962478220349,0.95854775315,0.947727272727,0.0083932853717,0.994185174011,834,880,11
TMM easy (near-saturated),3,77,2;5;8,0.717157109323,0.870347082495,0.951081488934,0.955681818182,0.0178359096314,0.995249573704,841,880,11
TMM easy (near-saturated),3,78,2;5;9,0.728542807055,0.916317841938,0.941862545168,0.954545454545,0.0202380952381,0.993381064822,840,880,11
TMM easy (near-saturated),3,79,2;6;7,0.80113415109,0.963395638629,0.969674844237,0.961363636364,0.0106382978723,0.995957379875,846,880,11
TMM easy (near-saturated),3,80,2;6;8,0.658373496592,0.894012418045,0.961356432634,0.973863636364,0.0210035005834,0.996108389024,857,880,11
TMM easy (near-saturated),3,81,2;6;9,0.67954009434,0.93757370283,0.958394752358,0.969318181818,0.0234466588511,0.995052746964,853,880,11
TMM easy (near-saturated),3,82,2;7;8,0.769801169591,0.920888888889,0.971789473684,0.964772727273,0.0129564193168,0.996012600215,849,880,11
TMM easy (near-saturated),3,83,2;7;9,0.808790241449,0.954602615694,0.964201877934,0.955681818182,0.0118906064209,0.994898826975,841,880,11
TMM easy (near-saturated),3,84,2;8;9,0.660521090806,0.902062482272,0.955306130718,0.964772727273,0.0223792697291,0.995289131502,849,880,11
TMM easy (near-saturated),3,85,3;4;5,0.744310194156,0.912040731031,0.948478285649,0.955681818182,0.0178359096314,0.995152606152,841,880,11
TMM easy (near-saturated),3,86,3;4;6,0.664694679687,0.908343125734,0.954941448195,0.973863636364,0.022170361727,0.995803613612,857,880,11
TMM easy (near-saturated),3,87,3;4;7,0.768124397545,0.95063670032,0.959667190909,0.959090909091,0.0118483412322,0.995688228151,844,880,11
TMM easy (near-saturated),3,88,3;4;8,0.655724892536,0.894576874647,0.953236941514,0.969318181818,0.021101992966,0.996010548669,853,880,11
TMM easy (near-saturated),3,89,3;4;9,0.665982750104,0.910938865458,0.949960104867,0.964772727273,0.0235571260306,0.995003126128,849,880,11
TMM easy (near-saturated),3,90,3;5;6,0.617158706638,0.85918917892,0.935711843155,0.967045454545,0.027027027027,0.994712614749,851,880,11
TMM easy (near-saturated),3,91,3;5;7,0.786301140174,0.922535211268,0.941566063045,0.948863636364,0.0131736526946,0.994078797115,835,880,11
TMM easy (near-saturated),3,92,3;5;8,0.643737424547,0.865610328638,0.927062374245,0.957954545455,0.0225385527877,0.995135065953,843,880,11
TMM easy (near-saturated),3,93,3;5;9,0.63318731748,0.887845918509,0.931198720623,0.961363636364,0.0283687943262,0.993311493182,846,880,11
TMM easy (near-saturated),3,94,3;6;7,0.756980724194,0.946991533057,0.957304990092,0.961363636364,0.0141843971631,0.995674465558,846,880,11
TMM easy (near-saturated),3,95,3;6;8,0.645289971736,0.914171228221,0.956352187757,0.975,0.0268065268065,0.995904084387,858,880,11
TMM easy (near-saturated),3,96,3;6;9,0.597617258774,0.943257844084,0.944331150943,0.975,0.030303030303,0.994767905274,858,880,11
TMM easy (near-saturated),3,97,3;7;8,0.747188571925,0.935000651296,0.958577569363,0.961363636364,0.01536643026,0.995802816795,846,880,11
TMM easy (near-saturated),3,98,3;7;9,0.744519632076,0.95745370558,0.952023988006,0.956818181818,0.0166270783848,0.994600795368,842,880,11
TMM easy (near-saturated),3,99,3;8;9,0.640621086902,0.915816965404,0.946119995707,0.967045454545,0.027027027027,0.995086268256,851,880,11
TMM easy (near-saturated),3,100,4;5;6,0.746520696934,0.881184930772,0.961682945154,0.956818181818,0.0190023752969,0.995495951351,842,880,11
TMM easy (near-saturated),3,101,4;5;7,0.84110915493,0.950243125419,0.962231723675,0.944318181818,0.00962695547533,0.995049833433,831,880,11
TMM easy (near-saturated),3,102,4;5;8,0.742331536934,0.899509704607,0.9534827181,0.952272727273,0.0167064439141,0.995713807568,838,880,11
TMM easy (near-saturated),3,103,4;5;9,0.749443749131,0.933319427062,0.947712418301,0.95,0.0191387559809,0.994433049311,836,880,11
