regime,outer_repeat,training_data_seed,member_seed_start,member_seed_end,members,training_samples,queries,components,tau,archive_file,query_points_sha256,reference_gradients_sha256,auc,coverage_tau_0_9,risk_tau_0_9,zero_budget_cosine,fraction_sign_correct,accepted_components,total_components,elapsed_seconds
tmm_stressed,4,17005,29040,29049,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.6866047058823529,0.7172727272727273,0.16096324461343473,0.7658526818186708,0.7727272727272727,789,1100,5.87675890000537
heat_poisson_stressed,4,17005,29040,29049,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.6258940830858639,0.8625,0.1565217391304348,0.9282566666172788,0.82125,1380,1600,4.666324600002554
tmm_easy,5,17006,29050,29059,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.9193431712962963,0.9590909090909091,0.004739336492890996,0.9951201241920107,0.9818181818181818,844,880,15.518502799997805
tmm_stressed,5,17006,29050,29059,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.7703280028668055,0.7181818181818181,0.09113924050632911,0.8311784878797503,0.82,790,1100,5.646722700003011
heat_poisson_stressed,5,17006,29050,29059,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.6835067715987927,0.826875,0.0801209372637944,0.9395197570859007,0.88875,1323,1600,4.66768779999984
tmm_easy,6,17007,29060,29069,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8790031857813548,0.9431818181818182,0.014457831325301205,0.9944813800637909,0.9681818181818181,830,880,15.254192899999907
tmm_stressed,6,17007,29060,29069,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.7104961790980518,0.7272727272727273,0.17,0.7346375227222001,0.740909090909091,800,1100,5.5706781999979285
heat_poisson_stressed,6,17007,29060,29069,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.8993892857142857,0.775,0.025806451612903226,0.9499825289910284,0.875,1240,1600,4.741549200000009
tmm_easy,7,17008,29070,29079,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8891683433936955,0.9534090909090909,0.013110846245530394,0.9946783011842608,0.9681818181818181,839,880,15.486127000003762
tmm_stressed,7,17008,29070,29079,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.6554668655287337,0.8018181818181818,0.19047619047619047,0.7834309647695593,0.7654545454545455,882,1100,5.622556900001655
heat_poisson_stressed,7,17008,29070,29079,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.8753855751568295,0.748125,0.040100250626566414,0.947003038110529,0.83875,1197,1600,4.6370275000008405
tmm_easy,8,17009,29080,29089,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8807707129094412,0.9545454545454546,0.004761904761904762,0.9951484894369326,0.9829545454545454,840,880,15.586187099994277
tmm_stressed,8,17009,29080,29089,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.6847250320448474,0.78,0.13986013986013987,0.7477312178873697,0.7990909090909091,858,1100,5.670545000000857
heat_poisson_stressed,8,17009,29080,29089,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.604737087470515,0.75875,0.17215815485996705,0.8857724794319348,0.785625,1214,1600,4.54453900000226
tmm_easy,9,17010,29090,29099,10,600,80,11,0.9,external_members_tmm_easy.npz,3e18bf36abe51f8ac206a3184770d83ca13a90b297cd239277e4c51b3c0d1c89,15b73c7ad349edda13cf7eb04ae4aa685873ed2bc978695583cf067ebb8d5f4b,0.8343393695506371,0.9545454545454546,0.017857142857142856,0.9929409323331608,0.9681818181818181,840,880,15.36229910000111
tmm_stressed,9,17010,29090,29099,10,250,100,11,0.9,external_members_tmm_stressed.npz,1f6de7ddeaa20aff1cf24020c0ea8052afc126cc9e5b44380c0861fca34f6271,e8f332aa3899d7503dd2e8b20458bb71e7f82ae2a4074cb3f93b96e8e010c4c6,0.6732601452530698,0.7336363636363636,0.1623296158612144,0.7039998121726494,0.7709090909090909,807,1100,5.689302699996915
heat_poisson_stressed,9,17010,29090,29099,10,70,100,16,0.9,external_members_heat_poisson_stressed.npz,2168a1f01f6c296f168498983d536840fc1ad6b9b26a3fd86c82bae7f1efc67d,666cb73b6b8c23ec3288a2d6d3768c97752d5ccabe6df1af22a6b50f0ee61567,0.8021609900071913,0.7225,0.07958477508650519,0.9444797835439713,0.830625,1156,1600,4.493963799999619
