zone,g_h_over_2_h0p025,g_h_h0p05,g_2h_h0p10,zero_tolerance_step_only,raw_sign_h_over_2,raw_sign_h,raw_sign_2h,raw_sign_retention_h2_vs_h,raw_sign_retention_2h_vs_h,sign_h_over_2,sign_h,sign_2h,sign_retention_h2_vs_h,sign_retention_2h_vs_h,relative_change_h2_h,relative_change_2h_h,one_sided_plus_slope_h0p025,one_sided_minus_slope_h0p025,one_sided_sign_consistent_h0p025,one_sided_plus_slope_h0p05,one_sided_minus_slope_h0p05,one_sided_sign_consistent_h0p05,one_sided_plus_slope_h0p10,one_sided_minus_slope_h0p10,one_sided_sign_consistent_h0p10,nominal_mesh_cells,nominal_mesh_total,mesh_verified,closure_status
0,0.12028134550590153,0.3605500265461359,-0.4690923648807299,0.8008956034674479,1,1,-1,1,0,0,0,0,0,0,0.6663948505062435,1.768612012343898,-0.031003738943411463,0.2715664299552145,0,0.5680745847638491,0.15302546832842268,1,-0.9440139693558791,0.005829239594419278,0,189x189x78,2786238,0,step ladder fails numerical-resolution screen; mesh refinement absent
1,0.0777001586467918,0.3424132111211975,-0.4934201333116661,0.8823768415813522,1,1,-1,1,0,0,0,0,0,0,0.7730807219955956,1.6939587341583284,-0.09014662849011756,0.24554694578370118,0,0.564211967867152,0.12061445437524299,1,-0.9701759498167917,-0.01666431680654057,1,189x189x78,2786238,0,step ladder fails numerical-resolution screen; mesh refinement absent
2,0.034164325595469336,0.32605680349306,-0.49382650005139084,0.9729749263253022,1,1,-1,1,0,0,0,0,0,0,0.8952197125486556,1.6602659101103898,-0.1957916621699951,0.2641203133609338,0,0.5331225909064585,0.11899101607966145,1,-0.9674549237260521,-0.020198076376729546,1,189x189x78,2786238,0,step ladder fails numerical-resolution screen; mesh refinement absent
3,0.08056664571597594,0.3700827161924991,-0.49263078444642616,0.9650535682550772,1,1,-1,1,0,0,0,0,0,0,0.7823009770765164,1.7512374944419369,-0.1470801071101846,0.3082133985421365,0,0.5847805015518759,0.15538493083312233,1,-0.9653701397512293,-0.019891429141623007,1,189x189x78,2786238,0,step ladder fails numerical-resolution screen; mesh refinement absent
4,0.08590057100519743,0.38028332329169245,-0.543436395401109,0.9812758409549833,1,1,-1,1,0,0,0,0,0,0,0.7741142833673296,1.6997752202647494,-0.05450123790410544,0.2263023799145003,0,0.6071820129477601,0.15338463363562482,1,-1.03782023105353,-0.04905255974868794,1,189x189x78,2786238,0,step ladder fails numerical-resolution screen; mesh refinement absent
5,0.06257892571696289,0.4084777798014727,-0.5645504173975269,1.1529961802816995,1,1,-1,1,0,0,0,0,0,0,0.8467996821090799,1.7235452622362406,-0.01174406827118446,0.13690191970511023,0,0.6958625799906315,0.12109297961231391,1,-1.0422667719740986,-0.08683406282095518,1,189x189x78,2786238,0,step ladder fails numerical-resolution screen; mesh refinement absent
