regime,metric,n_outer_repeats,n_finite,mean,sd,min,median,max
tmm_easy,auc,10,10,0.8666146426229997,0.03449701284001197,0.8037287722186652,0.8769857387990534,0.9193431712962963
tmm_easy,coverage_tau_0_9,10,10,0.9545454545454547,0.007266411398958653,0.9431818181818182,0.9545454545454546,0.9647727272727272
tmm_easy,risk_tau_0_9,10,10,0.011457969250178201,0.006837334702735139,0.004739336492890996,0.010130293252052594,0.026410564225690276
tmm_easy,zero_budget_cosine,10,10,0.9950603452109503,0.0012550065453132797,0.9929409323331608,0.9951343068144716,0.9968227033796456
tmm_easy,fraction_sign_correct,10,10,0.9732954545454545,0.009297680082298171,0.9556818181818182,0.9710227272727272,0.9852272727272727
tmm_easy,elapsed_seconds,10,10,15.665764879999916,0.2925340757295879,15.254192899999907,15.644245199997385,16.257346099999268
tmm_stressed,auc,10,10,0.715994313079779,0.04485280369686866,0.6554668655287337,0.7104992790256561,0.7973333333333333
tmm_stressed,coverage_tau_0_9,10,10,0.7294545454545455,0.04955856558985691,0.6118181818181818,0.7304545454545455,0.8018181818181818
tmm_stressed,risk_tau_0_9,10,10,0.140702996038909,0.045418043634299014,0.05672009864364982,0.1504116922367873,0.20125
tmm_stressed,zero_budget_cosine,10,10,0.7504014724594387,0.07063564557122327,0.5968272890776167,0.7567919498530202,0.8372350701422137
tmm_stressed,fraction_sign_correct,10,10,0.7849090909090909,0.04097570334311309,0.7218181818181818,0.7768181818181819,0.8636363636363636
tmm_stressed,elapsed_seconds,10,10,5.698501770001167,0.09219868787182779,5.5706781999979285,5.679923849998886,5.87675890000537
heat_poisson_stressed,auc,10,10,0.7503496969884835,0.10966241881389,0.604737087470515,0.7420094063702218,0.8993892857142857
heat_poisson_stressed,coverage_tau_0_9,10,10,0.7961875,0.046057642401789424,0.7225,0.7984375,0.8625
heat_poisson_stressed,risk_tau_0_9,10,10,0.09113185617605547,0.05593649051052367,0.02207001522070015,0.0798528561751498,0.17215815485996705
heat_poisson_stressed,zero_budget_cosine,10,10,0.9310092362013694,0.02193571874094427,0.8857724794319348,0.9338882118515898,0.9596241852115382
heat_poisson_stressed,fraction_sign_correct,10,10,0.8473749999999999,0.04564145441494071,0.785625,0.8346875,0.93375
heat_poisson_stressed,elapsed_seconds,10,10,4.686380710000958,0.1536138669522837,4.493963799999619,4.6559692500013625,5.059469700005138
