benchmark,query,component,x_k,step_h_over_2,step_h,step_2h,g_h_over_2,g_h,g_2h,g_independent,g_grid80_independent,g_grid160_independent,g_grid320_independent,g_grid640_independent,zero_tolerance,unresolved,sign_h_over_2,sign_h,sign_2h,sign_independent,retain_h2_vs_h,retain_2h_vs_h,retain_h_vs_independent,grid_sign_consistent,relative_change_h2_h,relative_change_2h_h,relative_error_h_independent
TMM_easy,0,0,170.39124620414873,0.25,0.5,1.0,-0.002971461075303994,-0.0029714900048023463,-0.0029716057163705067,-0.002971451431994166,nan,nan,nan,nan,9.643166117475252e-08,0,-1,-1,-1,-1,1,1,1,1,9.735687586251884e-06,3.8939071735873e-05,1.2980965144704197e-05
TMM_easy,0,1,279.13179353296437,0.25,0.5,1.0,-0.0032754257223766015,-0.0032754490999781227,-0.0032755426075794514,-0.0032754179297808765,nan,nan,nan,nan,7.792533840422777e-08,0,-1,-1,-1,-1,1,1,1,1,7.1372202124662765e-06,2.854720958667246e-05,9.516312510069102e-06
TMM_easy,0,2,181.48782045652825,0.25,0.5,1.0,-0.008636349947045652,-0.00863665047568385,-0.008637852335317997,-0.008636249765169673,nan,nan,nan,nan,1.0017621273246864e-06,0,-1,-1,-1,-1,1,1,1,1,3.4796897135473125e-05,0.0001391387103520828,4.6396518569849673e-05
TMM_easy,0,3,275.96396756365976,0.25,0.5,1.0,-0.008083446963545349,-0.00808364704313147,-0.008084447186686994,-0.008083380266467384,nan,nan,nan,nan,6.669319537374225e-07,0,-1,-1,-1,-1,1,1,1,1,2.475115316807787e-05,9.897319347220862e-05,3.3002017859333966e-05
TMM_easy,0,4,165.78395187393727,0.25,0.5,1.0,-0.020399153469424114,-0.020401971872140212,-0.020413227454971095,-0.020398213601946207,nan,nan,nan,nan,9.394675720327447e-06,0,-1,-1,-1,-1,1,1,1,1,0.0001381436428675253,0.0005513867346900827,0.00018421112515784222
TMM_easy,0,5,515.63355509412,0.25,0.5,1.0,-0.020118023091692194,-0.020120558841123737,-0.02013068496362702,-0.020117177467469608,nan,nan,nan,nan,8.452498105141851e-06,0,-1,-1,-1,-1,1,1,1,1,0.00012602778340131497,0.0005030192723983706,0.0001680556529681279
TMM_easy,0,6,161.94746171966892,0.25,0.5,1.0,-0.01990520242846694,-0.01990777023842294,-0.019918024910190513,-0.019904346124243265,nan,nan,nan,nan,8.559366520000111e-06,0,-1,-1,-1,-1,1,1,1,1,0.00012898531202876947,0.0005148438067434492,0.00017199887976734977
TMM_easy,0,7,253.54922797973632,0.25,0.5,1.0,-0.00741960075781245,-0.0074197477373975085,-0.007420335522492272,-0.007419551761657233,nan,nan,nan,nan,4.899319501946072e-07,0,-1,-1,-1,-1,1,1,1,1,1.980924288268802e-05,7.921273815471567e-05,2.64127228056343e-05
TMM_easy,0,8,169.6506042853912,0.25,0.5,1.0,-0.0073976299374989285,-0.007397796639526222,-0.007398463257117571,-0.007397574365924261,nan,nan,nan,nan,5.55673424310991e-07,0,-1,-1,-1,-1,1,1,1,1,2.2534010519106865e-05,9.010216962396093e-05,3.0045919452985934e-05
TMM_easy,0,9,290.41150153664756,0.25,0.5,1.0,-0.002702225873026487,-0.002702234624421207,-0.0027022696269074498,-0.0027022229558258783,nan,nan,nan,nan,2.9171315733359883e-08,0,-1,-1,-1,-1,1,1,1,1,3.2385769321871638e-06,1.295299547248816e-05,4.318128123751588e-06
TMM_easy,0,10,168.5653924137002,0.25,0.5,1.0,-0.0018976995042945255,-0.001897698642844281,-0.0018976951923870278,-0.0018976997913408415,nan,nan,nan,nan,2.0398213601946204e-08,0,-1,-1,-1,-1,1,1,1,1,4.5394449570230075e-07,1.8182324502691595e-06,6.052045564224963e-07
TMM_easy,1,0,153.1398929096607,0.25,0.5,1.0,0.00034200859619870627,0.0003420144274908221,0.0003420377535612307,0.0003420066524542848,nan,nan,nan,nan,1.943764038614404e-08,0,1,1,1,1,1,1,1,1,1.7049842483617722e-05,6.819735589329405e-05,2.273306595390871e-05
TMM_easy,1,1,237.50642997085973,0.25,0.5,1.0,0.00030971346015262746,0.0003097164015654075,0.00030972816755164834,0.00030971247968912844,nan,nan,nan,nan,9.804709266703071e-09,0,1,1,1,1,1,1,1,1,9.497116604558441e-06,3.798810529204337e-05,1.2662798157303088e-05
TMM_easy,1,2,179.85575393375572,0.25,0.5,1.0,0.0005713643876528174,0.0005713809465734965,0.0005714471884753491,0.0005713588681490762,nan,nan,nan,nan,5.5196402263627916e-08,0,1,1,1,1,1,1,1,1,2.8980526526812364e-05,0.00011591955160267283,3.864046316682585e-05
TMM_easy,1,3,254.10773367815693,0.25,0.5,1.0,0.0005641631377741874,0.0005641725822385091,0.0005642103622300887,0.000564159989667851,nan,nan,nan,nan,3.148154773905768e-08,0,1,1,1,1,1,1,1,1,1.6740381612030505e-05,6.69608254451109e-05,2.2320422960171986e-05
TMM_easy,1,4,172.36619204238482,0.25,0.5,1.0,0.0013720107856212138,0.001372111882648408,0.0013725163728211531,0.0013719770888790909,nan,nan,nan,nan,3.369900906472859e-07,0,1,1,1,1,1,1,1,1,7.367987149783399e-05,0.0002947069927579207,9.823817650858711e-05
TMM_easy,1,5,591.6248013021693,0.25,0.5,1.0,0.0013680108105691424,0.0013680937200555299,0.0013684254266440044,0.0013679831755987683,nan,nan,nan,nan,2.7636495462483407e-07,0,1,1,1,1,1,1,1,1,6.0602197913813234e-05,0.00024240019369412957,8.080181579744895e-05
TMM_easy,1,6,182.30349308133543,0.25,0.5,1.0,0.0012715871930013556,0.0012716709423135075,0.0012720060146039769,0.001271559278232131,nan,nan,nan,nan,2.7916437383979087e-07,0,1,1,1,1,1,1,1,1,6.585769114105493e-05,0.0002634203664309584,8.780894306938587e-05
TMM_easy,1,7,270.75732809398465,0.25,0.5,1.0,0.0004451190707117636,0.0004451249088709419,0.0004451482625172365,0.0004451171246804685,nan,nan,nan,nan,1.946053059439142e-08,0,1,1,1,1,1,1,1,1,1.3115777306477636e-05,5.24626248399046e-05,1.748765418038378e-05
TMM_easy,1,8,181.24425573896903,0.25,0.5,1.0,0.0003468940070334714,0.00034690170456386227,0.0003469324967700915,0.0003468914412363712,nan,nan,nan,nan,2.5658434636236884e-08,0,1,1,1,1,1,1,1,1,2.218937033056291e-05,8.875561244890607e-05,2.958569345731469e-05
TMM_easy,1,9,261.0009942803802,0.25,0.5,1.0,0.00011388951891322385,0.00011389023784391661,0.00011389311361187371,0.0001138892792713108,nan,nan,nan,nan,2.396435642519161e-09,0,1,1,1,1,1,1,1,1,6.312487412143459e-06,2.5249708835778876e-05,8.416635384734446e-06
TMM_easy,1,10,182.3292773734812,0.25,0.5,1.0,1.4888427420478578e-05,1.4888542441582331e-05,1.4889002518281291e-05,1.4888389081007495e-05,nan,nan,nan,nan,1.3719770888790908e-09,0,1,1,1,1,1,1,1,1,7.725477776210462e-06,3.0900437984043665e-05,1.0300576798428459e-05
TMM_easy,2,0,171.9695896379811,0.25,0.5,1.0,-0.00029889243239611396,-0.00029889705989760706,-0.0002989155705905855,-0.0002988908899109379,nan,nan,nan,nan,1.542500497701364e-08,0,-1,-1,-1,-1,1,1,1,1,1.5481923758933363e-05,6.192615841942029e-05,2.064251375126648e-05
TMM_easy,2,1,240.32817604382294,0.25,0.5,1.0,-0.0002911301439187941,-0.0002911324279266658,-0.0002911415641682624,-0.0002911293825880253,nan,nan,nan,nan,7.613359572407793e-09,0,-1,-1,-1,-1,1,1,1,1,7.845254092744567e-06,3.138075328645469e-05,1.0460320968837109e-05
TMM_easy,2,2,177.24687283829607,0.25,0.5,1.0,-0.0010065454314935884,-0.0010065763619944157,-0.0010067000959971817,-0.0010065351215916667,nan,nan,nan,nan,1.0310166942417709e-07,0,-1,-1,-1,-1,1,1,1,1,3.072841961633977e-05,0.00012291049067938355,4.09709628659602e-05
TMM_easy,2,3,245.4765631166145,0.25,0.5,1.0,-0.0010092176343212689,-0.0010092369312599825,-0.0010093141237815795,-0.0010092112021153794,nan,nan,nan,nan,6.432312904536275e-08,0,-1,-1,-1,-1,1,1,1,1,1.9120325580552773e-05,7.648017577300481e-05,2.5493661405089783e-05
TMM_easy,2,4,184.56496944585624,0.25,0.5,1.0,-0.0028377306514142386,-0.002838048674497551,-0.0028393212248177258,-0.002837624653895268,nan,nan,nan,nan,1.0600769443739704e-06,0,-1,-1,-1,-1,1,1,1,1,0.0001120569517252885,0.00044818821803320924,0.00014940568359269116
TMM_easy,2,5,476.68292237576696,0.25,0.5,1.0,-0.002749151086514523,-0.0027494096530679135,-0.0027504442276657937,-0.002749064904516668,nan,nan,nan,nan,8.61888511301719e-07,0,-1,-1,-1,-1,1,1,1,1,9.40443898936616e-05,0.0003761481827094353,0.00012539002722305158
TMM_easy,2,6,175.06493278098867,0.25,0.5,1.0,-0.002724251774226749,-0.002724534984176019,-0.0027256681971639662,-0.0027241573792003123,nan,nan,nan,nan,9.440331642333415e-07,0,-1,-1,-1,-1,1,1,1,1,0.00010394799513123286,0.00041575602970537855,0.00013859428412554302
TMM_easy,2,7,244.9540032454792,0.25,0.5,1.0,-0.0009541781776709612,-0.0009541948973667003,-0.0009542617798274367,-0.0009541726045215364,nan,nan,nan,nan,5.573231913006775e-08,0,-1,-1,-1,-1,1,1,1,1,1.752230680038408e-05,7.008816883400535e-05,2.336298928589059e-05
TMM_easy,2,8,166.48018693316487,0.25,0.5,1.0,-0.0009116392757688718,-0.0009116638073252137,-0.0009117619412970512,-0.000911631098756866,nan,nan,nan,nan,8.17718544728526e-08,0,-1,-1,-1,-1,1,1,1,1,2.6908555703039713e-05,0.00010763113417297504,3.587788402360187e-05
